id;id_solicitud;state_solicitud;codigo_programa;fecha_solicitud;comentario
1;50406;1760;76363;2023-04-25;reboot Account alarm
2;48236;97782;54061;2023-04-25;mobile JBOD
3;48343;26860;61318;2023-04-26;generate connecting
4;38131;59855;94026;2023-04-25;Directo
5;96268;42580;34879;2023-04-26;Baleares en
6;63751;84422;22241;2023-04-25;pixel Tunez
7;99841;38732;80769;2023-04-25;program Informática
8;4608;41934;58794;2023-04-25;Mesa
9;16421;75755;33179;2023-04-25;9(E.U.A.-9) herramientas Madera
10;57524;21302;9643;2023-04-25;Implementación
